testBody
{"firmware":"0.5.2","device":"BE-43-2D-50-3D-45","lat":44.1372925,"lon":4.810107}
{"firmware":"0.93","device":"71-E5-91-B5-F6-86","lat":31.2303904,"lon":121.4737021}
{"firmware":"4.52","device":"0C-DA-D7-BB-1A-FD","lat":38.0818216,"lon":140.0392974}
{"firmware":"0.4.6","device":"D6-88-52-07-01-B5","lat":12.481536,"lon":123.380874}
{"firmware":"0.4.6","device":"FD-95-1C-D3-41-36","lat":-7.1532,"lon":114.3304}
{"firmware":"0.7.4","device":"B9-88-17-75-F1-65","lat":30.164169,"lon":118.271111}
{"firmware":"0.7.7","device":"40-87-43-AB-5D-CC","lat":45.70734,"lon":5.534063}
{"firmware":"0.8.0","device":"59-C1-91-E2-B8-1A","lat":59.3257766,"lon":18.0470069}
{"firmware":"0.5.0","device":"09-CE-8D-C9-14-A6","lat":43.0052216,"lon":71.513917}
{"firmware":"5.91","device":"DD-C6-A8-FB-E3-FD","lat":4.920956,"lon":-75.063129}
{"firmware":"0.2.1","device":"0D-CD-66-50-15-A6","lat":45.548669,"lon":126.958098}
{"firmware":"8.67","device":"49-CB-36-63-BD-42","lat":9.3466822,"lon":2.6090043}
{"firmware":"0.2.5","device":"6D-66-E6-A9-5F-45","lat":11.4878347,"lon":122.559309}
{"firmware":"0.76","device":"E1-89-80-71-DA-D4","lat":45.0209955,"lon":42.9021581}
{"firmware":"0.53","device":"DA-02-3D-CE-25-8D","lat":-6.9580488,"lon":107.5847246}
{"firmware":"0.35","device":"64-B8-07-16-07-26","lat":33.6634952,"lon":112.6061178}
{"firmware":"7.01","device":"EF-A9-E6-19-A4-C0","lat":46.9981458,"lon":-0.2101206}
{"firmware":"8.1","device":"C7-FB-EF-17-B1-D8","lat":33.4749653,"lon":132.3056769}
{"firmware":"5.88","device":"0C-46-17-F4-00-0B","lat":16.416095,"lon":120.596202}
{"firmware":"1.37","device":"8F-30-CC-64-BC-BC","lat":26.245192,"lon":114.500401}
{"firmware":"6.8","device":"92-5C-39-00-A5-26","lat":28.1905018,"lon":112.999502}
{"firmware":"0.89","device":"9B-6D-C4-3D-F8-B5","lat":35.5732078,"lon":8.6683097}
{"firmware":"1.8","device":"96-0D-99-33-CE-CF","lat":-26.8193949,"lon":-65.1435685}
{"firmware":"0.41","device":"CC-1C-9E-FA-A7-73","lat":0.882544,"lon":-77.700425}
{"firmware":"6.39","device":"5C-BD-9F-D8-15-C4","lat":3.1035814,"lon":101.640078}
{"firmware":"0.7.2","device":"28-CD-D3-EF-D7-6F","lat":6.680623,"lon":-75.953096}
{"firmware":"0.86","device":"D3-44-FB-8B-DB-65","lat":-8.729881,"lon":122.0212337}
{"firmware":"0.19","device":"26-9D-B0-2A-AF-CE","lat":-17.48333,"lon":-63.7}
{"firmware":"1.10","device":"4A-A1-A7-AE-CB-9B","lat":46.8117208,"lon":33.4901963}
{"firmware":"8.51","device":"16-96-72-85-17-94","lat":32.187849,"lon":119.425836}
{"firmware":"2.3.7","device":"D2-58-61-DC-9A-86","lat":14.2139963,"lon":121.1703921}
{"firmware":"0.30","device":"37-CF-4B-D2-B5-2D","lat":49.1845517,"lon":-0.3553901}
{"firmware":"8.16","device":"E9-AF-EF-9D-81-83","lat":14.1586723,"lon":121.2408815}
{"firmware":"6.00","device":"4C-3A-F9-99-A7-41","lat":30.823526,"lon":91.622728}
{"firmware":"0.6.3","device":"09-5E-87-C3-4A-D5","lat":-7.8037413,"lon":111.9880199}
{"firmware":"2.22","device":"7E-6F-E4-B3-17-1A","lat":8.4937903,"lon":124.635164}
{"firmware":"0.1.5","device":"E3-50-54-34-39-A4","lat":61.7664099,"lon":22.4781721}
{"firmware":"3.6","device":"BB-6B-FB-49-2F-BB","lat":-17.3218249,"lon":-39.2360718}
{"firmware":"0.78","device":"69-75-9C-AA-DB-71","lat":34.379742,"lon":117.788836}
{"firmware":"6.35","device":"41-F4-82-C3-6D-F0","lat":22.396428,"lon":114.109497}
{"firmware":"7.66","device":"EF-72-5F-7F-EB-72","lat":41.634449,"lon":22.4665446}
{"firmware":"0.6.9","device":"D9-79-69-48-A5-25","lat":39.4779651,"lon":-8.0757391}
{"firmware":"5.65","device":"3E-39-03-7E-84-23","lat":-7.011204,"lon":108.0257828}
{"firmware":"0.75","device":"25-01-34-B4-C1-2F","lat":-6.8238747,"lon":107.9195543}
{"firmware":"4.64","device":"CF-3C-1E-D0-A6-B9","lat":18.8350125,"lon":-72.1031057}
{"firmware":"8.26","device":"3B-D6-E9-DD-2E-1E","lat":-4.5261835,"lon":104.0769024}
{"firmware":"6.90","device":"31-86-7C-40-72-0A","lat":7.9187344,"lon":125.3297787}
{"firmware":"6.82","device":"50-EC-B8-A9-B3-25","lat":-6.6327752,"lon":106.2110311}
{"firmware":"7.8","device":"C4-CA-33-4A-BF-B4","lat":33.888077,"lon":10.0975221}
{"firmware":"7.03","device":"AC-F3-E0-E1-1F-ED","lat":40.888872,"lon":19.5181312}
{"firmware":"5.1","device":"DD-81-0A-D7-7D-91","lat":-6.8857846,"lon":111.2219041}
{"firmware":"1.9","device":"1F-48-5B-31-87-5B","lat":64.7605411,"lon":20.9709123}
{"firmware":"0.4.3","device":"B1-61-50-DE-4A-27","lat":25.5025179,"lon":49.5999539}
{"firmware":"0.29","device":"11-5B-9D-B8-8A-E5","lat":41.393981,"lon":2.1633946}
{"firmware":"0.14","device":"D8-55-B3-42-B3-01","lat":4.2743779,"lon":-75.931004}
{"firmware":"3.3.2","device":"80-5B-4F-70-D8-6A","lat":40.4563733,"lon":-3.6952896}
{"firmware":"9.6.6","device":"91-CC-21-91-33-2E","lat":48.9480609,"lon":14.5413068}
{"firmware":"0.9.8","device":"7A-55-16-F3-9E-07","lat":22.656408,"lon":114.019351}
{"firmware":"0.3.0","device":"63-54-3C-0E-7D-D6","lat":52.3738284,"lon":4.8886159}
{"firmware":"6.43","device":"01-A3-1A-FD-E1-58","lat":-11.9148486,"lon":43.4969735}
{"firmware":"5.9.6","device":"D4-F5-84-DF-17-2F","lat":40.2938995,"lon":45.1360148}
